occurrenceID,recordedBy,eventDate,year,month,day,scientificName,fieldRemarks,island,locationID,materialSampleID,associateMedia,decimalLatitude,decimalLongitude,higherClassification,kingdom,phylum,class,order,family,genus,specificEpithet,scientificNameAuthorship,taxonRank,nomenclaturalCode,taxonomicStatus,taxonID,reportNumber
bid:hisc:biisc:hipsc:bi:2:SP:40190:v,Sophie Parmelon,2010-01-12,2010,1,12,Rhizophora mangle,In bloom,Big Island,bi,bid:hisc:biisc:hipsc:bi:2:SP:40190,,20.05528747,-154.837712,Plantae | Tracheophyta | Magnoliopsida | Malpighiales | Rhizophoraceae | Rhizophora,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Rhizophoraceae,Rhizophora,mangle,L.,species,ICBN,valid,3086528,2
bid:hisc:biisc:hipsc:bi:27:SG:40184:v,Sharon Grant,2010-01-06,2010,1,6,Rhizophora mangle,,Big Island,bi,bid:hisc:biisc:hipsc:bi:27:SG:40184,,20.05535999,-154.9679346,Plantae | Tracheophyta | Magnoliopsida | Malpighiales | Rhizophoraceae | Rhizophora,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Rhizophoraceae,Rhizophora,mangle,L.,species,ICBN,valid,3086528,27
bid:hisc:biisc:hipsc:bi:28:SG:40184,Sharon Grant,2010-01-06,2010,1,6,Rhizophora mangle,,Big Island,bi,,,20.05535999,-154.8400362,Plantae | Tracheophyta | Magnoliopsida | Malpighiales | Rhizophoraceae | Rhizophora,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Rhizophoraceae,Rhizophora,mangle,L.,species,ICBN,valid,3086528,28
bid:hisc:biisc:hipsc:bi:37:AA:40214,Anne-Sophie Archambeau,2010-02-05,2010,2,5,Morella cerifera,,Big Island,bi,,,19.62805,-155.1010117,Plantae | Tracheophyta | Magnoliopsida | Fagales | Myricaceae | Morella,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,Morella,cerifera,(L.) Small,species,ICBN,valid,3168995,37
bid:hisc:biisc:hipsc:bi:38:AA:40214:v,Anne-Sophie Archambeau,2010-02-05,2010,2,5,Morella cerifera,,Big Island,bi,bid:hisc:biisc:hipsc:bi:38:AA:40214,,19.62808265,-155.1009032,Plantae | Tracheophyta | Magnoliopsida | Fagales | Myricaceae | Morella,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,Morella,cerifera,(L.) Small,species,ICBN,valid,3168995,38
bid:hisc:biisc:hipsc:bi:39:AA:40213,Anne-Sophie Archambeau,2010-02-04,2010,2,4,Morella cerifera,,Big Island,bi,,,19.63630563,-155.1005167,Plantae | Tracheophyta | Magnoliopsida | Fagales | Myricaceae | Morella,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,Morella,cerifera,(L.) Small,species,ICBN,valid,3168995,39
bid:hisc:biisc:hipsc:bi:40:AA:40213,Anne-Sophie Archambeau,2010-02-04,2010,2,4,Morella cerifera,,Big Island,bi,,,19.63658826,-155.1008167,Plantae | Tracheophyta | Magnoliopsida | Fagales | Myricaceae | Morella,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,Morella,cerifera,(L.) Small,species,ICBN,valid,3168995,40
bid:hisc:biisc:hipsc:bi:41:AA:40213,Anne-Sophie Archambeau,2010-02-04,2010,2,4,Morella cerifera,,Big Island,bi,,,19.6389386,-155.0998333,Plantae | Tracheophyta | Magnoliopsida | Fagales | Myricaceae | Morella,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,Morella,cerifera,(L.) Small,species,ICBN,valid,3168995,41
bid:hisc:biisc:hipsc:bi:42:TH:40219:v,Tim Hirsch,2010-02-10,2010,2,10,Paulownia tomentosa,,Big Island,bi,bid:hisc:biisc:hipsc:bi:42:TH:40219,,19.70375,-155.6201268,Plantae | Tracheophyta | Magnoliopsida | Lamiales | Paulowniaceae | Paulownia,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Paulowniaceae,Paulownia,tomentosa,(Thunb.) Steud.,species,ICBN,valid,3170823,42
bid:hisc:biisc:hipsc:bi:43:AA:40221,Anne-Sophie Archambeau,2010-02-12,2010,2,12,Morella cerifera,,Big Island,bi,,,19.64872599,-155.0992667,Plantae | Tracheophyta | Magnoliopsida | Fagales | Myricaceae | Morella,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,Morella,cerifera,(L.) Small,species,ICBN,valid,3168995,43
bid:hisc:biisc:hipsc:bi:44:AA:40221,Anne-Sophie Archambeau,2010-02-12,2010,2,12,Morella cerifera,,Big Island,bi,,,19.65077827,-155.09965,Plantae | Tracheophyta | Magnoliopsida | Fagales | Myricaceae | Morella,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,Morella,cerifera,(L.) Small,species,ICBN,valid,3168995,44
bid:hisc:biisc:hipsc:bi:45:AA:40221,Anne-Sophie Archambeau,2010-02-12,2010,2,12,Morella cerifera,,Big Island,bi,,,19.65218604,-155.0995667,Plantae | Tracheophyta | Magnoliopsida | Fagales | Myricaceae | Morella,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,Morella,cerifera,(L.) Small,species,ICBN,valid,3168995,45
bid:hisc:biisc:hipsc:bi:46:AA:40221,Anne-Sophie Archambeau,2010-02-12,2010,2,12,Morella cerifera,,Big Island,bi,,,19.65292189,-155.09955,Plantae | Tracheophyta | Magnoliopsida | Fagales | Myricaceae | Morella,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,Morella,cerifera,(L.) Small,species,ICBN,valid,3168995,46
bid:hisc:biisc:hipsc:bi:47:AA:40221,Anne-Sophie Archambeau,2010-02-12,2010,2,12,Morella cerifera,,Big Island,bi,,,19.65431571,-155.0997,Plantae | Tracheophyta | Magnoliopsida | Fagales | Myricaceae | Morella,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,Morella,cerifera,(L.) Small,species,ICBN,valid,3168995,47
bid:hisc:biisc:hipsc:bi:106:SG:40298,Sharon Grant,2010-04-30,2010,4,30,Clidemia hirta,,Big Island,bi,,,19.28653333,-154.95055,Plantae | Tracheophyta | Magnoliopsida | Myrtales | Melastomataceae | Clidemia,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Clidemia,hirta,(L.) D. Don,species,ICBN,valid,3188642,106
bid:hisc:biisc:hipsc:bi:107:SG:40298,Sharon Grant,2010-04-30,2010,4,30,Clidemia hirta,,Big Island,bi,,,19.2866,-154.95055,Plantae | Tracheophyta | Magnoliopsida | Myrtales | Melastomataceae | Clidemia,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Clidemia,hirta,(L.) D. Don,species,ICBN,valid,3188642,107
bid:hisc:biisc:hipsc:bi:108:SG:40298,Sharon Grant,2010-04-30,2010,4,30,Clidemia hirta,,Big Island,bi,,,19.28666667,-154.9507167,Plantae | Tracheophyta | Magnoliopsida | Myrtales | Melastomataceae | Clidemia,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Clidemia,hirta,(L.) D. Don,species,ICBN,valid,3188642,108
bid:hisc:biisc:hipsc:bi:109:SG:40298,Sharon Grant,2010-04-30,2010,4,30,Clidemia hirta,,Big Island,bi,,,19.28671667,-154.9507167,Plantae | Tracheophyta | Magnoliopsida | Myrtales | Melastomataceae | Clidemia,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Clidemia,hirta,(L.) D. Don,species,ICBN,valid,3188642,109
bid:hisc:biisc:hipsc:bi:110:SG:40298,Sharon Grant,2010-04-30,2010,4,30,Clidemia hirta,,Big Island,bi,,,19.28676667,-154.9507,Plantae | Tracheophyta | Magnoliopsida | Myrtales | Melastomataceae | Clidemia,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Clidemia,hirta,(L.) D. Don,species,ICBN,valid,3188642,110
bid:hisc:biisc:hipsc:bi:111:SG:40298,Sharon Grant,2010-04-30,2010,4,30,Clidemia hirta,,Big Island,bi,,,19.28678333,-154.9507,Plantae | Tracheophyta | Magnoliopsida | Myrtales | Melastomataceae | Clidemia,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Clidemia,hirta,(L.) D. Don,species,ICBN,valid,3188642,111
bid:hisc:biisc:hipsc:bi:112:SG:40298,Sharon Grant,2010-04-30,2010,4,30,Clidemia hirta,,Big Island,bi,,,19.2868,-154.9506,Plantae | Tracheophyta | Magnoliopsida | Myrtales | Melastomataceae | Clidemia,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Clidemia,hirta,(L.) D. Don,species,ICBN,valid,3188642,112
bid:hisc:biisc:hipsc:bi:113:SG:40298,Sharon Grant,2010-04-30,2010,4,30,Clidemia hirta,,Big Island,bi,,,19.28685,-154.9500833,Plantae | Tracheophyta | Magnoliopsida | Myrtales | Melastomataceae | Clidemia,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Clidemia,hirta,(L.) D. Don,species,ICBN,valid,3188642,113
bid:hisc:biisc:hipsc:bi:114:SG:40298,Sharon Grant,2010-04-30,2010,4,30,Clidemia hirta,,Big Island,bi,,,19.28686667,-154.9501167,Plantae | Tracheophyta | Magnoliopsida | Myrtales | Melastomataceae | Clidemia,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Clidemia,hirta,(L.) D. Don,species,ICBN,valid,3188642,114
bid:hisc:biisc:hipsc:bi:115:SG:40298,Sharon Grant,2010-04-30,2010,4,30,Clidemia hirta,,Big Island,bi,,,19.28686667,-154.9499667,Plantae | Tracheophyta | Magnoliopsida | Myrtales | Melastomataceae | Clidemia,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Clidemia,hirta,(L.) D. Don,species,ICBN,valid,3188642,115
bid:hisc:biisc:hipsc:bi:116:SG:40298,Sharon Grant,2010-04-30,2010,4,30,Clidemia hirta,,Big Island,bi,,,19.2869,-154.9501833,Plantae | Tracheophyta | Magnoliopsida | Myrtales | Melastomataceae | Clidemia,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Clidemia,hirta,(L.) D. Don,species,ICBN,valid,3188642,116
bid:hisc:biisc:hipsc:bi:129:LR:40322,Laura Russell,2010-05-24,2010,5,24,Buddleja madagascariensis,,Big Island,bi,,,19.16941667,-155.6774385,Plantae | Tracheophyta | Magnoliopsida | Lamiales | Scrophulariaceae | Buddleja,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Buddleja,madagascariensis,Lam.,species,ICBN,valid,3173340,129
bid:hisc:biisc:hipsc:bi:130:LR:40322,Laura Russell,2010-05-24,2010,5,24,Buddleja madagascariensis,,Big Island,bi,,,19.16946667,-155.6800665,Plantae | Tracheophyta | Magnoliopsida | Lamiales | Scrophulariaceae | Buddleja,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Buddleja,madagascariensis,Lam.,species,ICBN,valid,3173340,130
bid:hisc:biisc:hipsc:bi:131:LR:40322,Laura Russell,2010-05-24,2010,5,24,Buddleja madagascariensis,,Big Island,bi,,,19.16955,-155.6524665,Plantae | Tracheophyta | Magnoliopsida | Lamiales | Scrophulariaceae | Buddleja,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Buddleja,madagascariensis,Lam.,species,ICBN,valid,3173340,131
bid:hisc:biisc:hipsc:bi:132:LR:40323,Laura Russell,2010-05-25,2010,5,25,Buddleja madagascariensis,,Big Island,bi,,,19.16956667,-155.6690915,Plantae | Tracheophyta | Magnoliopsida | Lamiales | Scrophulariaceae | Buddleja,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Buddleja,madagascariensis,Lam.,species,ICBN,valid,3173340,132
bid:hisc:biisc:hipsc:bi:133:LR:40323,Laura Russell,2010-05-25,2010,5,25,Buddleja madagascariensis,,Big Island,bi,,,19.1696,-155.6702925,Plantae | Tracheophyta | Magnoliopsida | Lamiales | Scrophulariaceae | Buddleja,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Buddleja,madagascariensis,Lam.,species,ICBN,valid,3173340,133
bid:hisc:biisc:hipsc:bi:135:LR:40330,Laura Russell,2010-06-01,2010,6,1,Rosa laevigata,,Big Island,bi,,,20.21088797,-155.1445505,Plantae | Tracheophyta | Magnoliopsida | Rosales | Rosaceae | Rosa,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosa,laevigata,Michx.,species,ICBN,valid,3002751,135
bid:hisc:biisc:hipsc:bi:253:DA:40371,Daniel Amariles,2010-07-12,2010,7,12,Rauvolfia vomitoria,,Big Island,bi,,,20.05067988,-155.7541898,Plantae | Tracheophyta | Magnoliopsida | Gentianales | Apocynaceae | Rauvolfia,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rauvolfia,vomitoria,Afzel.,species,ICBN,valid,3169770,253
bid:hisc:biisc:hipsc:bi:254:DA:40371,Daniel Amariles,2010-07-12,2010,7,12,Rauvolfia vomitoria,,Big Island,bi,,,20.05084654,-155.7541273,Plantae | Tracheophyta | Magnoliopsida | Gentianales | Apocynaceae | Rauvolfia,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rauvolfia,vomitoria,Afzel.,species,ICBN,valid,3169770,254
bid:hisc:biisc:hipsc:bi:255:DA:40371,Daniel Amariles,2010-07-12,2010,7,12,Rauvolfia vomitoria,,Big Island,bi,,,20.05084654,-155.7545943,Plantae | Tracheophyta | Magnoliopsida | Gentianales | Apocynaceae | Rauvolfia,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rauvolfia,vomitoria,Afzel.,species,ICBN,valid,3169770,255
bid:hisc:biisc:hipsc:bi:256:DA:40371,Daniel Amariles,2010-07-12,2010,7,12,Rauvolfia vomitoria,,Big Island,bi,,,20.05146321,-155.7545497,Plantae | Tracheophyta | Magnoliopsida | Gentianales | Apocynaceae | Rauvolfia,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rauvolfia,vomitoria,Afzel.,species,ICBN,valid,3169770,256
bid:hisc:biisc:hipsc:bi:257:DA:40371,Daniel Amariles,2010-07-12,2010,7,12,Rauvolfia vomitoria,,Big Island,bi,,,20.05146321,-155.7545467,Plantae | Tracheophyta | Magnoliopsida | Gentianales | Apocynaceae | Rauvolfia,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rauvolfia,vomitoria,Afzel.,species,ICBN,valid,3169770,257
bid:hisc:biisc:hipsc:bi:258:DA:40371,Daniel Amariles,2010-07-12,2010,7,12,Rauvolfia vomitoria,,Big Island,bi,,,20.05149654,-155.7545403,Plantae | Tracheophyta | Magnoliopsida | Gentianales | Apocynaceae | Rauvolfia,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rauvolfia,vomitoria,Afzel.,species,ICBN,valid,3169770,258
bid:hisc:biisc:hipsc:bi:259:DA:40371,Daniel Amariles,2010-07-12,2010,7,12,Rauvolfia vomitoria,,Big Island,bi,,,20.05149654,-155.7545416,Plantae | Tracheophyta | Magnoliopsida | Gentianales | Apocynaceae | Rauvolfia,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rauvolfia,vomitoria,Afzel.,species,ICBN,valid,3169770,259
bid:hisc:biisc:hipsc:bi:260:DA:40371,Daniel Amariles,2010-07-12,2010,7,12,Rauvolfia vomitoria,,Big Island,bi,,,20.05152988,-155.7544894,Plantae | Tracheophyta | Magnoliopsida | Gentianales | Apocynaceae | Rauvolfia,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rauvolfia,vomitoria,Afzel.,species,ICBN,valid,3169770,260
bid:hisc:biisc:hipsc:bi:261:DA:40371,Daniel Amariles,2010-07-12,2010,7,12,Rauvolfia vomitoria,,Big Island,bi,,,20.05152988,-155.7545358,Plantae | Tracheophyta | Magnoliopsida | Gentianales | Apocynaceae | Rauvolfia,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rauvolfia,vomitoria,Afzel.,species,ICBN,valid,3169770,261
bid:hisc:biisc:hipsc:bi:262:DA:40371,Daniel Amariles,2010-07-12,2010,7,12,Rauvolfia vomitoria,,Big Island,bi,,,20.05156321,-155.7544817,Plantae | Tracheophyta | Magnoliopsida | Gentianales | Apocynaceae | Rauvolfia,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rauvolfia,vomitoria,Afzel.,species,ICBN,valid,3169770,262
bid:hisc:biisc:hipsc:bi:263:DA:40371,Daniel Amariles,2010-07-12,2010,7,12,Rauvolfia vomitoria,,Big Island,bi,,,20.05156321,-155.7544904,Plantae | Tracheophyta | Magnoliopsida | Gentianales | Apocynaceae | Rauvolfia,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rauvolfia,vomitoria,Afzel.,species,ICBN,valid,3169770,263
bid:hisc:biisc:hipsc:bi:264:DA:40371,Daniel Amariles,2010-07-12,2010,7,12,Rauvolfia vomitoria,,Big Island,bi,,,20.05157988,-155.7544988,Plantae | Tracheophyta | Magnoliopsida | Gentianales | Apocynaceae | Rauvolfia,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rauvolfia,vomitoria,Afzel.,species,ICBN,valid,3169770,264
bid:hisc:biisc:hipsc:bi:265:DA:40371,Daniel Amariles,2010-07-12,2010,7,12,Rauvolfia vomitoria,,Big Island,bi,,,20.05157988,-155.7541254,Plantae | Tracheophyta | Magnoliopsida | Gentianales | Apocynaceae | Rauvolfia,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rauvolfia,vomitoria,Afzel.,species,ICBN,valid,3169770,265
bid:hisc:biisc:hipsc:bi:266:SP:40371,Sophie Parmelon,2010-07-12,2010,7,12,Rauvolfia vomitoria,,Big Island,bi,,,20.05160057,-155.7544716,Plantae | Tracheophyta | Magnoliopsida | Gentianales | Apocynaceae | Rauvolfia,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rauvolfia,vomitoria,Afzel.,species,ICBN,valid,3169770,266
bid:hisc:biisc:hipsc:bi:267:SP:40371,Sophie Parmelon,2010-07-12,2010,7,12,Rauvolfia vomitoria,,Big Island,bi,,,20.05162988,-155.7544815,Plantae | Tracheophyta | Magnoliopsida | Gentianales | Apocynaceae | Rauvolfia,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rauvolfia,vomitoria,Afzel.,species,ICBN,valid,3169770,267
bid:hisc:biisc:hipsc:bi:268:SP:40371,Sophie Parmelon,2010-07-12,2010,7,12,Rauvolfia vomitoria,,Big Island,bi,,,20.05162988,-155.7545003,Plantae | Tracheophyta | Magnoliopsida | Gentianales | Apocynaceae | Rauvolfia,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rauvolfia,vomitoria,Afzel.,species,ICBN,valid,3169770,268
bid:hisc:biisc:hipsc:bi:269:SP:40371,Sophie Parmelon,2010-07-12,2010,7,12,Rauvolfia vomitoria,,Big Island,bi,,,20.05176167,-155.7545022,Plantae | Tracheophyta | Magnoliopsida | Gentianales | Apocynaceae | Rauvolfia,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rauvolfia,vomitoria,Afzel.,species,ICBN,valid,3169770,269
bid:hisc:biisc:hipsc:bi:270:SP:40371,Sophie Parmelon,2010-07-12,2010,7,12,Rauvolfia vomitoria,,Big Island,bi,,,20.05202897,-155.7544046,Plantae | Tracheophyta | Magnoliopsida | Gentianales | Apocynaceae | Rauvolfia,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rauvolfia,vomitoria,Afzel.,species,ICBN,valid,3169770,270
bid:hisc:biisc:hipsc:bi:271:SP:40371,Sophie Parmelon,2010-07-12,2010,7,12,Rauvolfia vomitoria,,Big Island,bi,,,20.05232278,-155.7543839,Plantae | Tracheophyta | Magnoliopsida | Gentianales | Apocynaceae | Rauvolfia,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rauvolfia,vomitoria,Afzel.,species,ICBN,valid,3169770,271
bid:hisc:biisc:hipsc:bi:272:SP:40371,Sophie Parmelon,2010-07-12,2010,7,12,Rauvolfia vomitoria,,Big Island,bi,,,20.05422988,-155.7543795,Plantae | Tracheophyta | Magnoliopsida | Gentianales | Apocynaceae | Rauvolfia,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rauvolfia,vomitoria,Afzel.,species,ICBN,valid,3169770,272
bid:hisc:biisc:hipsc:bi:273:SP:40371,Sophie Parmelon,2010-07-12,2010,7,12,Rauvolfia vomitoria,,Big Island,bi,,,20.05492988,-155.754376,Plantae | Tracheophyta | Magnoliopsida | Gentianales | Apocynaceae | Rauvolfia,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rauvolfia,vomitoria,Afzel.,species,ICBN,valid,3169770,273
bid:hisc:biisc:hipsc:bi:274:SP:40371,Sophie Parmelon,2010-07-12,2010,7,12,Rauvolfia vomitoria,,Big Island,bi,,,20.05492988,-155.7543788,Plantae | Tracheophyta | Magnoliopsida | Gentianales | Apocynaceae | Rauvolfia,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rauvolfia,vomitoria,Afzel.,species,ICBN,valid,3169770,274
bid:hisc:biisc:hipsc:bi:275:SP:40371,Sophie Parmelon,2010-07-12,2010,7,12,Rauvolfia vomitoria,,Big Island,bi,,,20.05496321,-155.7543696,Plantae | Tracheophyta | Magnoliopsida | Gentianales | Apocynaceae | Rauvolfia,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rauvolfia,vomitoria,Afzel.,species,ICBN,valid,3169770,275
bid:hisc:biisc:hipsc:bi:276:SP:40371,Sophie Parmelon,2010-07-12,2010,7,12,Rauvolfia vomitoria,,Big Island,bi,,,20.05505885,-155.7541198,Plantae | Tracheophyta | Magnoliopsida | Gentianales | Apocynaceae | Rauvolfia,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rauvolfia,vomitoria,Afzel.,species,ICBN,valid,3169770,276
bid:hisc:biisc:hipsc:bi:277:SP:40371,Sophie Parmelon,2010-07-12,2010,7,12,Rauvolfia vomitoria,,Big Island,bi,,,20.05506321,-155.7543957,Plantae | Tracheophyta | Magnoliopsida | Gentianales | Apocynaceae | Rauvolfia,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rauvolfia,vomitoria,Afzel.,species,ICBN,valid,3169770,277
